0:0:0:0:0:0:0:1 - - [17/May/2023:11:34:27 +0900] "GET /ServletStudy/gugudan.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [17/May/2023:11:34:44 +0900] "GET /ServletStudy/gugudan.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [17/May/2023:11:34:49 +0900] "GET /ServletStudy/gugudan.jsp?num=4 HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [17/May/2023:11:35:11 +0900] "GET /ServletStudy/gugudanMain.jsp HTTP/1.1" 500 2526
0:0:0:0:0:0:0:1 - - [17/May/2023:11:35:17 +0900] "GET /ServletStudy/gugudan3.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [17/May/2023:11:35:21 +0900] "POST /ServletStudy/gugudanMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2023:11:35:21 +0900] "GET /ServletStudy/gugudan.jsp?num=4 HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [17/May/2023:11:35:23 +0900] "POST /ServletStudy/gugudanMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2023:11:35:23 +0900] "GET /ServletStudy/gugudan2.jsp?col=4 HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [17/May/2023:11:36:23 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [17/May/2023:11:36:34 +0900] "GET /ServletStudy/gugudanMain.jsp HTTP/1.1" 500 2474
0:0:0:0:0:0:0:1 - - [17/May/2023:11:38:02 +0900] "GET /ServletStudy/gugudan3.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [17/May/2023:11:38:03 +0900] "POST /ServletStudy/gugudanMain.jsp HTTP/1.1" 500 2218
0:0:0:0:0:0:0:1 - - [17/May/2023:11:38:13 +0900] "GET /ServletStudy/gugudanMain.jsp HTTP/1.1" 500 2218
0:0:0:0:0:0:0:1 - - [17/May/2023:11:38:45 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [17/May/2023:11:39:18 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 2165
0:0:0:0:0:0:0:1 - - [17/May/2023:11:39:37 +0900] "GET /ServletStudy/gugudan2.jsp HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [17/May/2023:11:40:47 +0900] "POST /ServletStudy/gugudanMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2023:11:40:47 +0900] "GET /ServletStudy/gugudan.jsp?num=7 HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [17/May/2023:11:40:48 +0900] "POST /ServletStudy/gugudanMain.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2023:11:40:48 +0900] "GET /ServletStudy/gugudan2.jsp?col=7 HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [17/May/2023:11:41:13 +0900] "POST /ServletStudy/gugudanMain.jsp HTTP/1.1" 302 -
